username,utterance,gold_reference_response,emotion_label,risk_level,domain
Bharath,"Idk but I literally cannot breathe right now, I think I'm dying. Im so tired.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Bharath,My best friend ghosted me and I have no idea what I did wrong. What do I do?,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Rahul,"Right now, I feel so lonely, like I don't have a single real friend in this city. Please.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Arjun,"Honestly, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Priya,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Kavya,Idk but I don't know why but I'm just terrified of leaving my room today. Im so tired.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Varun,"Honestly, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Aarav,Idk but I feel like a burden to all my friends. They'd be better off without me. Help me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Sneha,I don't know why but I'm just terrified of leaving my room today.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Kavya,"Right now, I literally cannot breathe right now, I think I'm dying. Please.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Riya,"I swear, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Aditya,"Idk but If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Im so tired.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Arjun,"Right now, I honestly don't see the point anymore. Waking up is just exhausting. What do I do?",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Chandana,"Bro, I don't know why but I'm just terrified of leaving my room today. Help me.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Aarav,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep. It sucks.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Bharath,"Idk but Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.,neutral,L0,General Wellness
Priya,"Bro, Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.,neutral,L0,General Wellness
Priya,"Idk but Just feeling really low today, not sure why. Just sad. It sucks.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Dhanushree.K,I saw my ex with someone else on IG and it completely ruined my week. Help me.,It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Aditya,"Right now, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Riya,"If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Rahul,"Honestly, I've been trying to meditate but my mind keeps wandering.",That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.,neutral,L0,General Wellness
Kavya,"Idk but If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Im so tired.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Dhanushree.K,"I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Arjun,"I swear, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Please.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Bharath,"Honestly, I just feel really peaceful today. I sat in the sun for an hour. Help me.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.,joy,L0,General Wellness
Riya,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. Help me.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Bharath,"Hey, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Aditya,"I swear, I don't know why but I'm just terrified of leaving my room today. Im so tired.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Kavya,Idk but My best friend ghosted me and I have no idea what I did wrong. Help me.,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Aarav,"Right now, I actually managed to go to the gym today and eat a healthy meal! Help me.",That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?,joy,L0,General Wellness
Riya,I'm trying to fix my sleep schedule. I went to bed at 11 PM.,Excellent work! Consistency is key for regulating your sleep cycle. Avoiding screens an hour before bed will help you maintain this.,joy,L0,General Wellness
Varun,Idk but I have this presentation tomorrow and my mind is racing. I can't sleep.,"Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Rahul,"Idk but I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Vikram,"Right now, I saw my ex with someone else on IG and it completely ruined my week.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Riya,"Right now, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Riya,"I just feel so tense all the time, like something terrible is about to happen. Please.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Aarav,"Hey, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Kavya,"Bro, I just feel really peaceful today. I sat in the sun for an hour. Help me.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.,joy,L0,General Wellness
Sneha,"Bro, I got a D on my midterm and my parents are going to kill me. I'm a failure. Im so tired.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Aarav,"Bro, My chest is so tight, I feel like everyone is judging me and I can't breathe. It sucks.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Varun,"Right now, I've been trying to meditate but my mind keeps wandering. It sucks.",That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.,neutral,L0,General Wellness
Dhanushree.K,"Bro, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Aditya,"Honestly, My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Aarav,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. It sucks.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Vikram,"Bro, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Help me.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Kavya,"I swear, Just feeling really low today, not sure why. Just sad. Im so tired.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Chandana,I just lie in bed staring at the ceiling. I have zero energy to even eat.,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Riya,My best friend ghosted me and I have no idea what I did wrong. Im so tired.,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Riya,"Idk but My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Kavya,"Bro, I have three assignments due at midnight and I haven't started. I'm so cooked. Please.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Chandana,"Idk but Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.,neutral,L0,General Wellness
Neha,"Right now, I literally cannot breathe right now, I think I'm dying. Help me.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Aarav,"Right now, I've been trying to meditate but my mind keeps wandering. Im so tired.",That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.,neutral,L0,General Wellness
Varun,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Rahul,"My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.,anxiety,L1,Anxiety
Riya,"Just feeling really low today, not sure why. Just sad. Im so tired.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Sneha,"Bro, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Sneha,"Honestly, Everything feels completely numb. I don't enjoy the games I used to play at all. Help me.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Kavya,"I swear, I literally cannot breathe right now, I think I'm dying. Im so tired.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Aniverthy,"Idk but I can't stop shaking, everything feels like it's spinning out of control right now.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Sneha,"Honestly, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Im so tired.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Bharath,I got a D on my midterm and my parents are going to kill me. I'm a failure. Im so tired.,One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Varun,"I swear, My partner and I keep arguing about the exact same things. I'm so frustrated.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Sneha,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all. Im so tired.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Aniverthy,"Bro, I literally cannot breathe right now, I think I'm dying. It sucks.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Kavya,"I swear, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Rahul,"Bro, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Rahul,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. It sucks.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Sneha,"I can't stop shaking, everything feels like it's spinning out of control right now. Please.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Rahul,"Honestly, I have this presentation tomorrow and my mind is racing. I can't sleep. It sucks.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Varun,"I swear, I saw my ex with someone else on IG and it completely ruined my week. Please.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Vikram,"Honestly, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Aniverthy,"Honestly, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Sneha,"Bro, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Arjun,"I can't focus on this textbook at all, my brain is just static. It sucks.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song.",neutral,L0,Academic Stress
Riya,"Honestly, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Chandana,"Right now, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Aarav,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. What do I do?","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Arjun,"Bro, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Riya,"Right now, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Dhanushree.K,"Hey, Just feeling really low today, not sure why. Just sad. Please.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Bharath,"Right now, I got a D on my midterm and my parents are going to kill me. I'm a failure. What do I do?",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Varun,"Right now, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Arjun,"Bro, Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.,neutral,L0,General Wellness
Sneha,Idk but I don't know why but I'm just terrified of leaving my room today. What do I do?,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Neha,"Right now, My best friend ghosted me and I have no idea what I did wrong. Help me.","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Aniverthy,"Right now, I saw my ex with someone else on IG and it completely ruined my week.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
Chandana,"Hey, I feel like a burden to all my friends. They'd be better off without me. Im so tired.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Rahul,I've been trying to meditate but my mind keeps wandering.,That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.,neutral,L0,General Wellness
Aditya,Idk but I feel like a burden to all my friends. They'd be better off without me. Help me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Priya,"If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Please.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels.",anxiety,L1,Academic Stress
Riya,"Honestly, Everything feels completely numb. I don't enjoy the games I used to play at all.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Priya,"Honestly, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Rahul,I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Dhanushree.K,"Honestly, I have three assignments due at midnight and I haven't started. I'm so cooked. Please.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there.",anxiety,L0,Academic Stress
Aarav,"Bro, My parents just don't understand my career choices, they yell at me every time. It sucks.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Kavya,"Just feeling really low today, not sure why. Just sad. Help me.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Bharath,"Bro, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Priya,"Honestly, My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Dhanushree.K,"Honestly, I don't know why but I'm just terrified of leaving my room today. It sucks.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Vikram,"Right now, I got a D on my midterm and my parents are going to kill me. I'm a failure. It sucks.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Chandana,Idk but I just lie in bed staring at the ceiling. I have zero energy to even eat. What do I do?,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?",neutral,L1,Depression
Neha,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Vikram,Idk but I feel like a burden to all my friends. They'd be better off without me. Please.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Sneha,"Honestly, I just feel really peaceful today. I sat in the sun for an hour.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.,joy,L0,General Wellness
Sneha,"I swear, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Riya,"Bro, I can't focus on this textbook at all, my brain is just static. Im so tired.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song.",neutral,L0,Academic Stress
Riya,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all. It sucks.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?,sadness,L1,Depression
Riya,I feel like a burden to all my friends. They'd be better off without me. Help me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Vikram,"Hey, My partner and I keep arguing about the exact same things. I'm so frustrated. Im so tired.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Aniverthy,"Hey, I'm studying 10 hours a day but I still feel like I know nothing. I hate college.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Vikram,"I swear, I got a D on my midterm and my parents are going to kill me. I'm a failure.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Aniverthy,"I swear, I don't know why but I'm just terrified of leaving my room today. Im so tired.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?",fear,L1,Anxiety
Vikram,"Bro, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Dhanushree.K,"Hey, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Sneha,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Priya,"Just feeling really low today, not sure why. Just sad.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?",sadness,L0,Depression
Aarav,"Hey, My best friend ghosted me and I have no idea what I did wrong. It sucks.","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth.",sadness,L1,Relationship
Bharath,"I swear, I just feel so tense all the time, like something terrible is about to happen. What do I do?",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Rahul,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it.",anger,L1,Academic Stress
Neha,"Honestly, I literally cannot breathe right now, I think I'm dying. It sucks.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe.",fear,L2,Anxiety
Varun,"Idk but I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Vikram,"I swear, I got a D on my midterm and my parents are going to kill me. I'm a failure. Help me.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.,sadness,L1,Academic Stress
Riya,"Honestly, I feel so lonely, like I don't have a single real friend in this city. Im so tired.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Neha,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. It sucks.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Aniverthy,"Bro, My partner and I keep arguing about the exact same things. I'm so frustrated.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?,anger,L0,Relationship
Rahul,"Idk but I can't stop shaking, everything feels like it's spinning out of control right now. It sucks.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Kavya,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting. Please.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Vikram,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Varun,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?",anxiety,L0,Anxiety
Aditya,"Idk but I can't stop shaking, everything feels like it's spinning out of control right now.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Sneha,"Hey, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Varun,"Right now, My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Sneha,"Bro, I can't stop shaking, everything feels like it's spinning out of control right now. Please.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you.",fear,L1,Anxiety
Sneha,"Honestly, I feel so lonely, like I don't have a single real friend in this city. What do I do?",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?,sadness,L1,Relationship
Chandana,"Bro, My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.,anger,L0,Relationship
Dhanushree.K,"Bro, Just doing a quick check-in. Feeling okay, nothing crazy. What do I do?",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.,neutral,L0,General Wellness
Priya,"Honestly, I can't focus on this textbook at all, my brain is just static. It sucks.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song.",neutral,L0,Academic Stress
Kavya,"Right now, I feel like a burden to all my friends. They'd be better off without me.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988.",sadness,L2,Depression
Varun,"Bro, I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?,anxiety,L0,Anxiety
Aditya,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?,sadness,L2,Depression
Varun,"Hey, I saw my ex with someone else on IG and it completely ruined my week.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.,sadness,L1,Relationship
