Username,Domain,Emotion Label,Risk Level,User Utterance,Gold Reference Response
Kavya,Academic Stress,anxiety,L0,"Right now, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Bharath,Anxiety,fear,L2,"Idk but I literally cannot breathe right now, I think I'm dying. Im so tired.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Bharath,Relationship,sadness,L1,My best friend ghosted me and I have no idea what I did wrong. What do I do?,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Rahul,Relationship,sadness,L1,"Right now, I feel so lonely, like I don't have a single real friend in this city. Please.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Arjun,Anxiety,anxiety,L0,"Honestly, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Priya,Depression,sadness,L1,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Kavya,Anxiety,fear,L1,Idk but I don't know why but I'm just terrified of leaving my room today. Im so tired.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Varun,Anxiety,anxiety,L0,"Honestly, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Aarav,Depression,sadness,L2,Idk but I feel like a burden to all my friends. They'd be better off without me. Help me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Sneha,Anxiety,fear,L1,I don't know why but I'm just terrified of leaving my room today.,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Kavya,Anxiety,fear,L2,"Right now, I literally cannot breathe right now, I think I'm dying. Please.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Riya,Anxiety,fear,L1,"I swear, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Aditya,Academic Stress,anxiety,L1,"Idk but If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Im so tired.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Arjun,Depression,sadness,L2,"Right now, I honestly don't see the point anymore. Waking up is just exhausting. What do I do?",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Chandana,Anxiety,fear,L1,"Bro, I don't know why but I'm just terrified of leaving my room today. Help me.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Aarav,Anxiety,anxiety,L0,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep. It sucks.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Bharath,General Wellness,neutral,L0,"Idk but Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.
Priya,General Wellness,neutral,L0,"Bro, Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.
Priya,Depression,sadness,L0,"Idk but Just feeling really low today, not sure why. Just sad. It sucks.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Dhanushree.K,Relationship,sadness,L1,I saw my ex with someone else on IG and it completely ruined my week. Help me.,It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Aditya,Depression,sadness,L2,"Right now, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Riya,Academic Stress,anxiety,L1,"If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Rahul,General Wellness,neutral,L0,"Honestly, I've been trying to meditate but my mind keeps wandering.",That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.
Kavya,Academic Stress,anxiety,L1,"Idk but If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Im so tired.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Dhanushree.K,Anxiety,fear,L1,"I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Arjun,Academic Stress,anger,L1,"I swear, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Please.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Bharath,General Wellness,joy,L0,"Honestly, I just feel really peaceful today. I sat in the sun for an hour. Help me.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.
Riya,Relationship,anger,L0,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. Help me.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Bharath,Relationship,sadness,L1,"Hey, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Aditya,Anxiety,fear,L1,"I swear, I don't know why but I'm just terrified of leaving my room today. Im so tired.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Kavya,Relationship,sadness,L1,Idk but My best friend ghosted me and I have no idea what I did wrong. Help me.,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Aarav,General Wellness,joy,L0,"Right now, I actually managed to go to the gym today and eat a healthy meal! Help me.",That's amazing! Acknowledging these victories is so important for building momentum. How do you feel physically right now?
Riya,General Wellness,joy,L0,I'm trying to fix my sleep schedule. I went to bed at 11 PM.,Excellent work! Consistency is key for regulating your sleep cycle. Avoiding screens an hour before bed will help you maintain this.
Varun,Anxiety,anxiety,L0,Idk but I have this presentation tomorrow and my mind is racing. I can't sleep.,"Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Rahul,Anxiety,anxiety,L0,"Idk but I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Vikram,Relationship,sadness,L1,"Right now, I saw my ex with someone else on IG and it completely ruined my week.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Riya,Anxiety,fear,L2,"Right now, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Riya,Anxiety,anxiety,L0,"I just feel so tense all the time, like something terrible is about to happen. Please.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Aarav,Depression,neutral,L1,"Hey, I just lie in bed staring at the ceiling. I have zero energy to even eat. It sucks.","When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Kavya,General Wellness,joy,L0,"Bro, I just feel really peaceful today. I sat in the sun for an hour. Help me.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.
Sneha,Academic Stress,sadness,L1,"Bro, I got a D on my midterm and my parents are going to kill me. I'm a failure. Im so tired.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Aarav,Anxiety,anxiety,L1,"Bro, My chest is so tight, I feel like everyone is judging me and I can't breathe. It sucks.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Varun,General Wellness,neutral,L0,"Right now, I've been trying to meditate but my mind keeps wandering. It sucks.",That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.
Dhanushree.K,Relationship,sadness,L1,"Bro, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Aditya,Relationship,anger,L0,"Honestly, My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Aarav,Relationship,anger,L0,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. It sucks.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Vikram,Academic Stress,anger,L1,"Bro, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. Help me.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Kavya,Depression,sadness,L0,"I swear, Just feeling really low today, not sure why. Just sad. Im so tired.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Chandana,Depression,neutral,L1,I just lie in bed staring at the ceiling. I have zero energy to even eat.,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Riya,Relationship,sadness,L1,My best friend ghosted me and I have no idea what I did wrong. Im so tired.,"Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Riya,Relationship,anger,L0,"Idk but My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Kavya,Academic Stress,anxiety,L0,"Bro, I have three assignments due at midnight and I haven't started. I'm so cooked. Please.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Chandana,General Wellness,neutral,L0,"Idk but Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.
Neha,Anxiety,fear,L2,"Right now, I literally cannot breathe right now, I think I'm dying. Help me.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Aarav,General Wellness,neutral,L0,"Right now, I've been trying to meditate but my mind keeps wandering. Im so tired.",That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.
Varun,Anxiety,anxiety,L0,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Rahul,Anxiety,anxiety,L1,"My chest is so tight, I feel like everyone is judging me and I can't breathe.",It sounds like you're experiencing a panic response. You are safe here. Let's try the 4-7-8 breathing technique to help your heart rate settle.
Riya,Depression,sadness,L0,"Just feeling really low today, not sure why. Just sad. Im so tired.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Sneha,Academic Stress,anxiety,L1,"Bro, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. It sucks.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Sneha,Depression,sadness,L1,"Honestly, Everything feels completely numb. I don't enjoy the games I used to play at all. Help me.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Kavya,Anxiety,fear,L2,"I swear, I literally cannot breathe right now, I think I'm dying. Im so tired.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Aniverthy,Anxiety,fear,L1,"Idk but I can't stop shaking, everything feels like it's spinning out of control right now.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Sneha,Academic Stress,anxiety,L1,"Honestly, If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Im so tired.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Bharath,Academic Stress,sadness,L1,I got a D on my midterm and my parents are going to kill me. I'm a failure. Im so tired.,One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Varun,Relationship,anger,L0,"I swear, My partner and I keep arguing about the exact same things. I'm so frustrated.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Sneha,Depression,sadness,L1,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all. Im so tired.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Aniverthy,Anxiety,fear,L2,"Bro, I literally cannot breathe right now, I think I'm dying. It sucks.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Kavya,Depression,sadness,L2,"I swear, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Rahul,Academic Stress,anxiety,L0,"Bro, I have three assignments due at midnight and I haven't started. I'm so cooked. Help me.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Rahul,Anxiety,fear,L1,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. It sucks.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Sneha,Anxiety,fear,L1,"I can't stop shaking, everything feels like it's spinning out of control right now. Please.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Rahul,Anxiety,anxiety,L0,"Honestly, I have this presentation tomorrow and my mind is racing. I can't sleep. It sucks.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Varun,Relationship,sadness,L1,"I swear, I saw my ex with someone else on IG and it completely ruined my week. Please.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Vikram,Depression,sadness,L2,"Honestly, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Aniverthy,Anxiety,fear,L1,"Honestly, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Sneha,Anxiety,anxiety,L0,"Bro, I have this presentation tomorrow and my mind is racing. I can't sleep. Im so tired.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Arjun,Academic Stress,neutral,L0,"I can't focus on this textbook at all, my brain is just static. It sucks.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song."
Riya,Anxiety,anxiety,L0,"Honestly, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Chandana,Relationship,sadness,L1,"Right now, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Aarav,Anxiety,fear,L1,"Right now, I can't stop shaking, everything feels like it's spinning out of control right now. What do I do?","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Arjun,Academic Stress,anger,L1,"Bro, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Riya,Academic Stress,anger,L1,"Right now, I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Dhanushree.K,Depression,sadness,L0,"Hey, Just feeling really low today, not sure why. Just sad. Please.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Bharath,Academic Stress,sadness,L1,"Right now, I got a D on my midterm and my parents are going to kill me. I'm a failure. What do I do?",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Varun,Anxiety,fear,L2,"Right now, I literally cannot breathe right now, I think I'm dying.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Arjun,General Wellness,neutral,L0,"Bro, Just doing a quick check-in. Feeling okay, nothing crazy.",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.
Sneha,Anxiety,fear,L1,Idk but I don't know why but I'm just terrified of leaving my room today. What do I do?,"That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Neha,Relationship,sadness,L1,"Right now, My best friend ghosted me and I have no idea what I did wrong. Help me.","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Aniverthy,Relationship,sadness,L1,"Right now, I saw my ex with someone else on IG and it completely ruined my week.",It's entirely normal for that to trigger painful feelings. Please consider muting or blocking them for your own peace of mind while you heal.
Chandana,Depression,sadness,L2,"Hey, I feel like a burden to all my friends. They'd be better off without me. Im so tired.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Rahul,General Wellness,neutral,L0,I've been trying to meditate but my mind keeps wandering.,That's totally normal! Meditation isn't about emptying your mind; it's about noticing when it wanders and gently bringing it back. You're doing great.
Aditya,Depression,sadness,L2,Idk but I feel like a burden to all my friends. They'd be better off without me. Help me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Priya,Academic Stress,anxiety,L1,"If I don't pass this class, I lose my scholarship. The stress is literally making me sick. Please.","The stakes feel incredibly high right now. Before you study another page, let's do a 2-minute grounding exercise to lower your cortisol levels."
Riya,Depression,sadness,L1,"Honestly, Everything feels completely numb. I don't enjoy the games I used to play at all.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Priya,Relationship,sadness,L1,"Honestly, I feel so lonely, like I don't have a single real friend in this city.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Rahul,Academic Stress,anger,L1,I'm studying 10 hours a day but I still feel like I know nothing. I hate college. What do I do?,"Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Dhanushree.K,Academic Stress,anxiety,L0,"Honestly, I have three assignments due at midnight and I haven't started. I'm so cooked. Please.","That's a lot of pressure! Let's break this down. Which assignment is worth the most points, or which one is the fastest to complete? Start there."
Aarav,Relationship,anger,L0,"Bro, My parents just don't understand my career choices, they yell at me every time. It sucks.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Kavya,Depression,sadness,L0,"Just feeling really low today, not sure why. Just sad. Help me.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Bharath,Anxiety,anxiety,L0,"Bro, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Priya,Relationship,anger,L0,"Honestly, My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Dhanushree.K,Anxiety,fear,L1,"Honestly, I don't know why but I'm just terrified of leaving my room today. It sucks.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Vikram,Academic Stress,sadness,L1,"Right now, I got a D on my midterm and my parents are going to kill me. I'm a failure. It sucks.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Chandana,Depression,neutral,L1,Idk but I just lie in bed staring at the ceiling. I have zero energy to even eat. What do I do?,"When your energy is that low, basic tasks feel like mountains. Please be gentle with yourself. Could you manage just drinking a glass of water right now?"
Neha,Anxiety,anxiety,L0,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Vikram,Depression,sadness,L2,Idk but I feel like a burden to all my friends. They'd be better off without me. Please.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Sneha,General Wellness,joy,L0,"Honestly, I just feel really peaceful today. I sat in the sun for an hour.",That sounds wonderful. Sunlight can have a massive positive impact on our circadian rhythms and mood. Hold onto this peaceful feeling.
Sneha,Anxiety,anxiety,L0,"I swear, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Riya,Academic Stress,neutral,L0,"Bro, I can't focus on this textbook at all, my brain is just static. Im so tired.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song."
Riya,Depression,sadness,L1,"Bro, Everything feels completely numb. I don't enjoy the games I used to play at all. It sucks.",Losing interest in things you usually love is a very common symptom of depression. You aren't doing anything wrong. Can you tell me what you played last?
Riya,Depression,sadness,L2,I feel like a burden to all my friends. They'd be better off without me. Help me.,"That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Vikram,Relationship,anger,L0,"Hey, My partner and I keep arguing about the exact same things. I'm so frustrated. Im so tired.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Aniverthy,Academic Stress,anger,L1,"Hey, I'm studying 10 hours a day but I still feel like I know nothing. I hate college.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Vikram,Academic Stress,sadness,L1,"I swear, I got a D on my midterm and my parents are going to kill me. I'm a failure.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Aniverthy,Anxiety,fear,L1,"I swear, I don't know why but I'm just terrified of leaving my room today. Im so tired.","That sounds paralyzing. You don't have to force yourself right now. What is one small, safe step you could take today, even just opening a window?"
Vikram,Depression,sadness,L2,"Bro, I feel like a burden to all my friends. They'd be better off without me. Please.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Dhanushree.K,Anxiety,anxiety,L0,"Hey, I just feel so tense all the time, like something terrible is about to happen.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Sneha,Depression,sadness,L2,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Priya,Depression,sadness,L0,"Just feeling really low today, not sure why. Just sad.","It's okay to have low days without a specific reason. What is one small, comforting thing you can do for yourself today?"
Aarav,Relationship,sadness,L1,"Hey, My best friend ghosted me and I have no idea what I did wrong. It sucks.","Being ghosted hurts deeply and leaves you with so many unanswered questions. It's important to remember that their behavior is a reflection of them, not your worth."
Bharath,Anxiety,anxiety,L0,"I swear, I just feel so tense all the time, like something terrible is about to happen. What do I do?",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Rahul,Academic Stress,anger,L1,"Honestly, I'm studying 10 hours a day but I still feel like I know nothing. I hate college.","Burnout can actually prevent your brain from retaining information. You need a break to let the knowledge settle. Step away for 30 minutes, you deserve it."
Neha,Anxiety,fear,L2,"Honestly, I literally cannot breathe right now, I think I'm dying. It sucks.","I hear how terrifying this is. You are having a panic attack, but it will pass. I need you to focus entirely on exhaling slowly. You are safe."
Varun,Anxiety,anxiety,L0,"Idk but I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
Vikram,Academic Stress,sadness,L1,"I swear, I got a D on my midterm and my parents are going to kill me. I'm a failure. Help me.",One grade does not define your intelligence or your worth. It's valid to be disappointed. Let's look at how we can talk to your parents about this calmly.
Riya,Relationship,sadness,L1,"Honestly, I feel so lonely, like I don't have a single real friend in this city. Im so tired.",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Neha,Relationship,anger,L0,"Right now, My partner and I keep arguing about the exact same things. I'm so frustrated. It sucks.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Aniverthy,Relationship,anger,L0,"Bro, My partner and I keep arguing about the exact same things. I'm so frustrated.",Cyclical arguments are incredibly draining. It might help to step back and look at the underlying need that isn't being met. Have you shared how you feel using 'I' statements?
Rahul,Anxiety,fear,L1,"Idk but I can't stop shaking, everything feels like it's spinning out of control right now. It sucks.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Kavya,Depression,sadness,L2,"Honestly, I honestly don't see the point anymore. Waking up is just exhausting. Please.",I am so sorry you are carrying this heavy feeling. It's okay to feel exhausted. Are you having any thoughts of hurting yourself today?
Vikram,Anxiety,anxiety,L0,"Hey, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Varun,Anxiety,anxiety,L0,"Right now, I have this presentation tomorrow and my mind is racing. I can't sleep.","Performance anxiety is completely normal, but it's really uncomfortable. Have you tried writing down your specific fears on paper to get them out of your head?"
Aditya,Anxiety,fear,L1,"Idk but I can't stop shaking, everything feels like it's spinning out of control right now.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Sneha,Anxiety,fear,L1,"Hey, I can't stop shaking, everything feels like it's spinning out of control right now. Help me.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Varun,Relationship,anger,L0,"Right now, My parents just don't understand my career choices, they yell at me every time.",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Sneha,Anxiety,fear,L1,"Bro, I can't stop shaking, everything feels like it's spinning out of control right now. Please.","I hear how overwhelming this is for you. Let's take a slow, deep breath together. Ground yourself by naming three things you can see around you."
Sneha,Relationship,sadness,L1,"Honestly, I feel so lonely, like I don't have a single real friend in this city. What do I do?",Loneliness is a really heavy emotion. Building connections takes time. What are some hobbies or interests you have that might connect you to local groups?
Chandana,Relationship,anger,L0,"Bro, My parents just don't understand my career choices, they yell at me every time. What do I do?",It is so hard when the people we love don't support our paths. Setting boundaries around certain conversation topics might be necessary for your peace.
Dhanushree.K,General Wellness,neutral,L0,"Bro, Just doing a quick check-in. Feeling okay, nothing crazy. What do I do?",Thanks for checking in! Routine check-ins are a great habit for emotional awareness. Let me know if you need anything later.
Priya,Academic Stress,neutral,L0,"Honestly, I can't focus on this textbook at all, my brain is just static. It sucks.","That sounds like mental fatigue. Let's try the Pomodoro technique: study for just 20 minutes, then take a 5-minute break to stretch or listen to a song."
Kavya,Depression,sadness,L2,"Right now, I feel like a burden to all my friends. They'd be better off without me.","That is the depression speaking, not the truth. Your friends care about you. If these thoughts become overwhelming, please reach out to the crisis helpline at 988."
Varun,Anxiety,anxiety,L0,"Bro, I just feel so tense all the time, like something terrible is about to happen. Help me.",Living with that constant sense of dread is exhausting. You are safe in this moment. Can we try a quick progressive muscle relaxation exercise?
